position(X10^5m)    determinacy    priority        dx             dy
5       9.1		f	       3                0.2            0.2
2       7.5		t                      3	         0.3            0.3	
7.5    7		f	       3	         0.3            0.26
2.8    8	                f                      2                0.27          0.27
6.9    8.5		t                      2                0.25          0.25
5.5    8		f	       2                0.25          0.25
5.3    6.6		t	       2                0.1            0.12
1.8    6.8		t	       1	         0.28          0.28
3       5.7                   f                      1                0.18          0.18
4.5    5		f                      1                0.23          0.25
6.3    5.7		t                      1                0.31          0.30
8      6.7		f	       1                0.29          0.28
0.9    8.7		f	       1                0.15          0.16
9.4    9		t	       1                0.21          0.21
4.2    9.3		f	       1                0.34          0.33
